X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
2.190538	5.518807e-06	1.064672e-05	9.523064e-07	2.806996e-06	
2.191539	5.693478e-06	1.076987e-05	8.521138e-07	2.826507e-06	
2.192540	5.865410e-06	1.089468e-05	7.553358e-07	2.846013e-06	
2.193541	6.034574e-06	1.102091e-05	6.624836e-07	2.865477e-06	
2.194542	6.200938e-06	1.114831e-05	5.740686e-07	2.884865e-06	
2.195543	6.364471e-06	1.127663e-05	4.906019e-07	2.904141e-06	
2.196544	6.525144e-06	1.140563e-05	4.125948e-07	2.923269e-06	
2.197545	6.682925e-06	1.153507e-05	3.405586e-07	2.942213e-06	
2.198546	6.837783e-06	1.166471e-05	2.750045e-07	2.960940e-06	
2.199547	6.989689e-06	1.179429e-05	2.164437e-07	2.979411e-06	
2.200548	7.138612e-06	1.192357e-05	1.653876e-07	2.997593e-06	
2.201549	7.284520e-06	1.205232e-05	1.223474e-07	3.015450e-06	
2.202550	7.427384e-06	1.218028e-05	8.783436e-08	3.032946e-06	
2.203551	7.567172e-06	1.230722e-05	6.235970e-08	3.050045e-06	
2.204551	7.703855e-06	1.243288e-05	4.643469e-08	3.066713e-06	
2.205552	7.837400e-06	1.255703e-05	4.057059e-08	3.082913e-06	
2.206553	7.967779e-06	1.267942e-05	4.527866e-08	3.098609e-06	
2.207554	8.094960e-06	1.279980e-05	6.107014e-08	3.113768e-06	
2.208555	8.218912e-06	1.291793e-05	8.845630e-08	3.128352e-06	
2.209556	8.339605e-06	1.303357e-05	1.279484e-07	3.142327e-06	
2.210557	8.457009e-06	1.314647e-05	1.800577e-07	3.155656e-06	
2.211558	8.571092e-06	1.325639e-05	2.452954e-07	3.168305e-06	
2.212559	8.681824e-06	1.336309e-05	3.241728e-07	3.180237e-06	
2.213560	8.789175e-06	1.346632e-05	4.172012e-07	3.191418e-06	
2.214561	8.893113e-06	1.356583e-05	5.248917e-07	3.201811e-06	
2.215562	8.993609e-06	1.366138e-05	6.477558e-07	3.211382e-06	
2.216563	9.090631e-06	1.375274e-05	7.863045e-07	3.220094e-06	
2.217564	9.184149e-06	1.383964e-05	9.410492e-07	3.227912e-06	
2.218565	9.274133e-06	1.392186e-05	1.112501e-06	3.234801e-06	
2.219566	9.360551e-06	1.399914e-05	1.301172e-06	3.240724e-06	
2.220567	9.443373e-06	1.407124e-05	1.507572e-06	3.245648e-06	
2.221568	9.522569e-06	1.413792e-05	1.732213e-06	3.249535e-06	
2.222568	9.598107e-06	1.419893e-05	1.975606e-06	3.252350e-06	
2.223569	9.669958e-06	1.425403e-05	2.238263e-06	3.254059e-06	
2.224570	9.738090e-06	1.430298e-05	2.520695e-06	3.254624e-06	
2.225571	9.802490e-06	1.434563e-05	2.823163e-06	3.254023e-06	
2.226572	9.863206e-06	1.438223e-05	3.145000e-06	3.252276e-06	
2.227573	9.920302e-06	1.441314e-05	3.485319e-06	3.249413e-06	
2.228574	9.973841e-06	1.443869e-05	3.843238e-06	3.245465e-06	
2.229575	1.002388e-05	1.445923e-05	4.217869e-06	3.240461e-06	
2.230576	1.007050e-05	1.447510e-05	4.608330e-06	3.234433e-06	
2.231577	1.011374e-05	1.448664e-05	5.013734e-06	3.227410e-06	
2.232578	1.015368e-05	1.449420e-05	5.433197e-06	3.219424e-06	
2.233579	1.019038e-05	1.449812e-05	5.865834e-06	3.210504e-06	
2.234580	1.022391e-05	1.449875e-05	6.310759e-06	3.200680e-06	
2.235581	1.025431e-05	1.449642e-05	6.767089e-06	3.189984e-06	
2.236582	1.028167e-05	1.449147e-05	7.233938e-06	3.178445e-06	
2.237583	1.030603e-05	1.448427e-05	7.710422e-06	3.166095e-06	
2.238584	1.032747e-05	1.447513e-05	8.195654e-06	3.152963e-06	
2.239585	1.034605e-05	1.446442e-05	8.688751e-06	3.139079e-06	
2.240585	1.036183e-05	1.445247e-05	9.188828e-06	3.124475e-06	
2.241586	1.037487e-05	1.443963e-05	9.694999e-06	3.109180e-06	
2.242587	1.038524e-05	1.442623e-05	1.020638e-05	3.093225e-06	
2.243588	1.039300e-05	1.441263e-05	1.072208e-05	3.076640e-06	
2.244589	1.039821e-05	1.439916e-05	1.124123e-05	3.059456e-06	
2.245590	1.040094e-05	1.438618e-05	1.176293e-05	3.041704e-06	
2.246591	1.040126e-05	1.437401e-05	1.228630e-05	3.023412e-06	
2.247592	1.039921e-05	1.436301e-05	1.281046e-05	3.004613e-06	
2.248593	1.039487e-05	1.435352e-05	1.333451e-05	2.985335e-06	
2.249594	1.038830e-05	1.434588e-05	1.385758e-05	2.965611e-06	
2.250595	1.037956e-05	1.434043e-05	1.437878e-05	2.945469e-06	
2.251596	1.036872e-05	1.433753e-05	1.489723e-05	2.924941e-06	
2.252597	1.035583e-05	1.433750e-05	1.541204e-05	2.904056e-06	
2.253598	1.034097e-05	1.434070e-05	1.592232e-05	2.882846e-06	
2.254599	1.032420e-05	1.434747e-05	1.642720e-05	2.861340e-06	
2.255600	1.030557e-05	1.435815e-05	1.692578e-05	2.839569e-06	
2.256601	1.028515e-05	1.437308e-05	1.741718e-05	2.817564e-06	
2.257602	1.026301e-05	1.439261e-05	1.790051e-05	2.795354e-06	
2.258602	1.023921e-05	1.441708e-05	1.837490e-05	2.772970e-06	
2.259603	1.021381e-05	1.444684e-05	1.883945e-05	2.750443e-06	
2.260604	1.018687e-05	1.448222e-05	1.929329e-05	2.727803e-06	
2.261605	1.015846e-05	1.452357e-05	1.973552e-05	2.705080e-06	
2.262606	1.012864e-05	1.457124e-05	2.016526e-05	2.682305e-06	
2.263607	1.009748e-05	1.462557e-05	2.058163e-05	2.659507e-06	
2.264608	1.006503e-05	1.468689e-05	2.098375e-05	2.636718e-06	
2.265609	1.003136e-05	1.475556e-05	2.137071e-05	2.613968e-06	
2.266610	9.996539e-06	1.483191e-05	2.174165e-05	2.591287e-06	
2.267611	9.960622e-06	1.491630e-05	2.209568e-05	2.568706e-06	
2.268612	9.923674e-06	1.500906e-05	2.243191e-05	2.546255e-06	
2.269613	9.885760e-06	1.511053e-05	2.274945e-05	2.523964e-06	
2.270614	9.846942e-06	1.522107e-05	2.304743e-05	2.501864e-06	
2.271615	9.807283e-06	1.534101e-05	2.332496e-05	2.479985e-06	
2.272616	9.766847e-06	1.547069e-05	2.358114e-05	2.458357e-06	
2.273617	9.725697e-06	1.561046e-05	2.381511e-05	2.437012e-06	
2.274618	9.683895e-06	1.576067e-05	2.402597e-05	2.415978e-06	
2.275619	9.641508e-06	1.592155e-05	2.421312e-05	2.395287e-06	
2.276619	9.598610e-06	1.609297e-05	2.437690e-05	2.374966e-06	
2.277620	9.555276e-06	1.627478e-05	2.451783e-05	2.355041e-06	
2.278621	9.511583e-06	1.646676e-05	2.463643e-05	2.335541e-06	
2.279622	9.467604e-06	1.666876e-05	2.473322e-05	2.316493e-06	
2.280623	9.423417e-06	1.688057e-05	2.480872e-05	2.297924e-06	
2.281624	9.379097e-06	1.710203e-05	2.486345e-05	2.279861e-06	
2.282625	9.334720e-06	1.733294e-05	2.489792e-05	2.262332e-06	
2.283626	9.290361e-06	1.757312e-05	2.491267e-05	2.245363e-06	
2.284627	9.246095e-06	1.782239e-05	2.490821e-05	2.228983e-06	
2.285628	9.202000e-06	1.808056e-05	2.488505e-05	2.213219e-06	
2.286629	9.158149e-06	1.834746e-05	2.484373e-05	2.198097e-06	
2.287630	9.114620e-06	1.862290e-05	2.478476e-05	2.183646e-06	
2.288631	9.071486e-06	1.890669e-05	2.470866e-05	2.169892e-06	
2.289632	9.028826e-06	1.919865e-05	2.461595e-05	2.156863e-06	
2.290633	8.986712e-06	1.949860e-05	2.450715e-05	2.144586e-06	
2.291634	8.945223e-06	1.980636e-05	2.438278e-05	2.133088e-06	
2.292635	8.904433e-06	2.012174e-05	2.424336e-05	2.122397e-06	
2.293636	8.864417e-06	2.044456e-05	2.408942e-05	2.112540e-06	
2.294636	8.825252e-06	2.077463e-05	2.392147e-05	2.103545e-06	
2.295637	8.787013e-06	2.111178e-05	2.374003e-05	2.095438e-06	
2.296638	8.749776e-06	2.145581e-05	2.354562e-05	2.088247e-06	
2.297639	8.713616e-06	2.180655e-05	2.333876e-05	2.081999e-06	
2.298640	8.678609e-06	2.216381e-05	2.311998e-05	2.076722e-06	
2.299641	8.644831e-06	2.252742e-05	2.288979e-05	2.072443e-06	
2.300642	8.612358e-06	2.289717e-05	2.264871e-05	2.069189e-06	
2.301643	8.581264e-06	2.327290e-05	2.239726e-05	2.066988e-06	
2.302644	8.551626e-06	2.365442e-05	2.213597e-05	2.065866e-06	
2.303645	8.523520e-06	2.404155e-05	2.186535e-05	2.065852e-06	
2.304646	8.497021e-06	2.443410e-05	2.158593e-05	2.066972e-06	
2.305647	8.472204e-06	2.483189e-05	2.129822e-05	2.069253e-06	
2.306648	8.449146e-06	2.523473e-05	2.100274e-05	2.072724e-06	
2.307649	8.427921e-06	2.564245e-05	2.070002e-05	2.077411e-06	
2.308650	8.408606e-06	2.605485e-05	2.039057e-05	2.083342e-06	
2.309651	8.391277e-06	2.647176e-05	2.007492e-05	2.090544e-06	
2.310652	8.376009e-06	2.689300e-05	1.975358e-05	2.099044e-06	
2.311653	8.362877e-06	2.731837e-05	1.942708e-05	2.108870e-06	
2.312653	8.351957e-06	2.774770e-05	1.909593e-05	2.120049e-06	
2.313654	8.343326e-06	2.818081e-05	1.876066e-05	2.132608e-06	
2.314655	8.337058e-06	2.861750e-05	1.842178e-05	2.146574e-06	
2.315656	8.333229e-06	2.905760e-05	1.807982e-05	2.161975e-06	
2.316657	8.331915e-06	2.950092e-05	1.773529e-05	2.178839e-06	
2.317658	8.333192e-06	2.994729e-05	1.738872e-05	2.197192e-06	
2.318659	8.337135e-06	3.039650e-05	1.704063e-05	2.217062e-06	
2.319660	8.343820e-06	3.084840e-05	1.669153e-05	2.238475e-06	
2.320661	8.353322e-06	3.130278e-05	1.634195e-05	2.261460e-06	
2.321662	8.365718e-06	3.175947e-05	1.599241e-05	2.286044e-06	
2.322663	8.381082e-06	3.221828e-05	1.564342e-05	2.312254e-06	
2.323664	8.399491e-06	3.267903e-05	1.529551e-05	2.340118e-06	
2.324665	8.421020e-06	3.314154e-05	1.494920e-05	2.369661e-06	
2.325666	8.445692e-06	3.360557e-05	1.460491e-05	2.400884e-06	
2.326667	8.473383e-06	3.407073e-05	1.426278e-05	2.433699e-06	
2.327668	8.503942e-06	3.453662e-05	1.392293e-05	2.468009e-06	
2.328669	8.537221e-06	3.500282e-05	1.358545e-05	2.503714e-06	
2.329669	8.573068e-06	3.546891e-05	1.325043e-05	2.540714e-06	
2.330670	8.611334e-06	3.593449e-05	1.291799e-05	2.578910e-06	
2.331671	8.651869e-06	3.639915e-05	1.258823e-05	2.618203e-06	
2.332672	8.694522e-06	3.686247e-05	1.226123e-05	2.658494e-06	
2.333673	8.739144e-06	3.732405e-05	1.193712e-05	2.699683e-06	
2.334674	8.785585e-06	3.778346e-05	1.161598e-05	2.741671e-06	
2.335675	8.833695e-06	3.824030e-05	1.129792e-05	2.784358e-06	
2.336676	8.883323e-06	3.869416e-05	1.098304e-05	2.827646e-06	
2.337677	8.934320e-06	3.914462e-05	1.067143e-05	2.871435e-06	
2.338678	8.986536e-06	3.959127e-05	1.036321e-05	2.915625e-06	
2.339679	9.039821e-06	4.003371e-05	1.005848e-05	2.960118e-06	
2.340680	9.094025e-06	4.047152e-05	9.757320e-06	3.004813e-06	
2.341681	9.148997e-06	4.090428e-05	9.459849e-06	3.049613e-06	
2.342682	9.204588e-06	4.133159e-05	9.166163e-06	3.094417e-06	
2.343683	9.260648e-06	4.175303e-05	8.876364e-06	3.139126e-06	
2.344684	9.317026e-06	4.216820e-05	8.590552e-06	3.183640e-06	
2.345685	9.373574e-06	4.257667e-05	8.308829e-06	3.227861e-06	
2.346686	9.430140e-06	4.297804e-05	8.031295e-06	3.271690e-06	
2.347686	9.486574e-06	4.337190e-05	7.758052e-06	3.315026e-06	
2.348687	9.542728e-06	4.375784e-05	7.489201e-06	3.357770e-06	
2.349688	9.598450e-06	4.413544e-05	7.224843e-06	3.399824e-06	
2.350689	9.653591e-06	4.450429e-05	6.965079e-06	3.441088e-06	
2.351690	9.708001e-06	4.486398e-05	6.710009e-06	3.481462e-06	
2.352691	9.761530e-06	4.521410e-05	6.459736e-06	3.520847e-06	
2.353692	9.814027e-06	4.555423e-05	6.214360e-06	3.559144e-06	
2.354693	9.865343e-06	4.588397e-05	5.973981e-06	3.596254e-06	
2.355694	9.915328e-06	4.620290e-05	5.738703e-06	3.632077e-06	
2.356695	9.963832e-06	4.651061e-05	5.508624e-06	3.666515e-06	
2.357696	1.001070e-05	4.680669e-05	5.283847e-06	3.699466e-06	
2.358697	1.005580e-05	4.709073e-05	5.064472e-06	3.730833e-06	
2.359698	1.009896e-05	4.736231e-05	4.850600e-06	3.760517e-06	
2.360699	1.014003e-05	4.762102e-05	4.642334e-06	3.788416e-06	
2.361700	1.017888e-05	4.786646e-05	4.439772e-06	3.814434e-06	
2.362701	1.021535e-05	4.809821e-05	4.243018e-06	3.838469e-06	
2.363702	1.024928e-05	4.831586e-05	4.052171e-06	3.860423e-06	
2.364703	1.028054e-05	4.851899e-05	3.867333e-06	3.880196e-06	
2.365703	1.030896e-05	4.870719e-05	3.688605e-06	3.897690e-06	
2.366704	1.033440e-05	4.888006e-05	3.516087e-06	3.912804e-06	
2.367705	1.035671e-05	4.903719e-05	3.349882e-06	3.925440e-06	
2.368706	1.037574e-05	4.917815e-05	3.190090e-06	3.935498e-06	
2.369707	1.039134e-05	4.930253e-05	3.036812e-06	3.942879e-06	
2.370708	1.040335e-05	4.940994e-05	2.890149e-06	3.947484e-06	
2.371709	1.041164e-05	4.949994e-05	2.750202e-06	3.949213e-06	
2.372710	1.041604e-05	4.957214e-05	2.617073e-06	3.947966e-06	
2.373711	1.041641e-05	4.962612e-05	2.490862e-06	3.943645e-06	
2.374712	1.041261e-05	4.966147e-05	2.371670e-06	3.936151e-06	
2.375713	1.040454e-05	4.967803e-05	2.259551e-06	3.925448e-06	
2.376714	1.039231e-05	4.967623e-05	2.154440e-06	3.911654e-06	
2.377715	1.037604e-05	4.965660e-05	2.056258e-06	3.894913e-06	
2.378716	1.035585e-05	4.961968e-05	1.964923e-06	3.875368e-06	
2.379717	1.033187e-05	4.956599e-05	1.880354e-06	3.853159e-06	
2.380718	1.030421e-05	4.949607e-05	1.802470e-06	3.828431e-06	
2.381719	1.027300e-05	4.941044e-05	1.731190e-06	3.801326e-06	
2.382720	1.023837e-05	4.930964e-05	1.666434e-06	3.771986e-06	
2.383720	1.020043e-05	4.919419e-05	1.608119e-06	3.740553e-06	
2.384721	1.015931e-05	4.906462e-05	1.556166e-06	3.707171e-06	
2.385722	1.011513e-05	4.892146e-05	1.510494e-06	3.671981e-06	
2.386723	1.006802e-05	4.876525e-05	1.471021e-06	3.635126e-06	
2.387724	1.001809e-05	4.859652e-05	1.437666e-06	3.596749e-06	
2.388725	9.965465e-06	4.841578e-05	1.410349e-06	3.556992e-06	
2.389726	9.910274e-06	4.822358e-05	1.388989e-06	3.515998e-06	
2.390727	9.852636e-06	4.802044e-05	1.373504e-06	3.473909e-06	
2.391728	9.792674e-06	4.780690e-05	1.363814e-06	3.430868e-06	
2.392729	9.730511e-06	4.758347e-05	1.359838e-06	3.387017e-06	
2.393730	9.666270e-06	4.735070e-05	1.361494e-06	3.342498e-06	
2.394731	9.600072e-06	4.710912e-05	1.368702e-06	3.297455e-06	
2.395732	9.532041e-06	4.685924e-05	1.381381e-06	3.252029e-06	
2.396733	9.462299e-06	4.660160e-05	1.399450e-06	3.206364e-06	
2.397734	9.390969e-06	4.633674e-05	1.422828e-06	3.160602e-06	
