X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
1.744117	-1.550035e-05	1.151267e-05	3.355480e-06	-5.127089e-06	
1.745118	5.090843e-06	1.344558e-05	9.922610e-07	7.370963e-09	
1.746119	6.256679e-06	2.751395e-05	5.285342e-07	-7.132562e-07	
1.747120	6.522606e-06	3.839892e-05	2.192335e-06	3.395858e-06	
1.748121	1.122559e-05	2.391770e-05	1.633420e-06	8.775057e-06	
1.749122	-2.187617e-05	1.202685e-05	2.377951e-06	8.781614e-06	
1.750123	-3.524431e-05	7.059075e-06	2.404269e-06	3.568703e-06	
1.751124	8.466082e-06	-7.292730e-06	9.051668e-07	-4.478684e-06	
1.752125	1.383663e-05	-1.156876e-05	1.097374e-06	-5.148258e-06	
1.753126	-2.551046e-05	-6.732797e-06	1.848484e-06	-1.978582e-06	
1.754127	-3.466825e-05	-1.317041e-05	1.307593e-06	-1.093377e-06	
1.755127	-1.357206e-05	-2.408733e-05	-3.995579e-08	3.267058e-06	
1.756128	4.524339e-05	-2.506301e-05	5.953553e-07	6.432213e-06	
1.757129	9.938332e-05	-1.977333e-05	1.417632e-06	5.470957e-06	
1.758130	8.277269e-05	-1.383575e-05	-1.287833e-06	4.259746e-06	
1.759131	4.262228e-05	-9.046246e-06	-4.778692e-06	-8.774090e-07	
1.760132	7.278074e-06	-1.755327e-05	-2.756854e-06	-4.441243e-06	
1.761133	-1.932237e-05	-2.474194e-05	1.852138e-06	1.226780e-07	
1.762134	-2.358091e-05	2.376929e-05	2.598215e-06	3.257889e-06	
1.763135	-3.252799e-05	8.817188e-05	3.183139e-06	1.200011e-06	
1.764136	-4.665990e-05	4.953514e-05	1.330777e-06	8.578047e-07	
1.765137	-5.513048e-05	-2.884351e-05	-2.108021e-06	-1.595497e-07	
1.766138	-5.787350e-05	-1.010079e-05	4.989774e-07	-5.602523e-06	
1.767139	-6.601001e-05	4.179023e-05	4.474057e-07	-6.039828e-06	
1.768140	-6.087763e-05	2.745232e-05	-3.256530e-06	-2.711737e-06	
1.769141	-6.238878e-06	-2.231055e-05	-2.147795e-06	-1.322960e-06	
1.770142	2.825676e-05	-4.201074e-05	-5.278228e-07	1.261671e-06	
1.771143	2.832145e-05	-1.612730e-05	1.367479e-06	-1.296223e-06	
1.772144	4.601389e-05	2.981938e-05	1.686460e-06	-3.055882e-06	
1.773144	3.780538e-05	4.545202e-05	-3.176770e-06	-5.997580e-09	
1.774145	9.832911e-06	9.905478e-06	-5.156168e-06	-6.971751e-07	
1.775146	-9.025479e-07	-2.108783e-05	-3.162388e-06	1.784288e-06	
1.776147	-9.852806e-06	-2.839682e-05	1.258532e-06	3.658464e-06	
1.777148	-1.447065e-05	-1.040723e-05	4.908331e-06	1.977643e-06	
1.778149	-1.086738e-05	4.024041e-05	2.263478e-06	3.468288e-06	
1.779150	-7.919115e-06	3.396784e-05	6.113977e-07	2.550062e-06	
1.780151	-6.092280e-06	-3.511436e-05	1.258303e-06	9.554670e-07	
1.781152	1.208394e-05	-4.917175e-05	1.349763e-06	5.794640e-07	
1.782153	3.562871e-05	5.493541e-06	3.064136e-06	2.946459e-07	
1.783154	3.118174e-05	4.445126e-05	2.214460e-06	1.692883e-06	
1.784155	2.052666e-05	2.381478e-05	-2.366938e-06	-3.716968e-07	
1.785156	2.526790e-05	-9.764212e-06	-6.002613e-06	-2.541420e-06	
1.786157	2.751368e-05	-2.221568e-05	-5.941214e-06	-1.486073e-07	
1.787158	2.922596e-05	-3.263891e-05	-2.144728e-06	-5.393223e-07	
1.788159	1.921355e-05	-3.430305e-05	1.730914e-06	-3.375072e-06	
1.789160	-1.392134e-05	-3.905587e-05	8.310240e-07	-2.085283e-06	
1.790161	-2.371644e-05	-5.966843e-05	-5.056532e-07	-9.142542e-07	
1.791161	-3.241897e-06	-4.028784e-05	1.140390e-06	-1.923501e-06	
1.792162	7.510003e-06	1.436181e-07	-8.000199e-08	-7.056175e-07	
1.793163	3.718830e-06	-1.107563e-05	-5.261382e-08	8.108195e-07	
1.794164	-2.510559e-06	-2.084573e-05	2.194256e-06	1.327891e-06	
1.795165	8.037176e-07	2.129740e-05	9.735218e-07	-4.547405e-07	
1.796166	-1.061864e-05	7.357887e-05	1.763183e-06	-2.416115e-06	
1.797167	-5.868990e-05	8.164996e-05	1.775637e-06	-2.358753e-06	
1.798168	-1.041298e-04	5.282512e-05	-2.519094e-06	-7.152780e-06	
1.799169	-1.142326e-04	6.044698e-05	-1.987787e-06	-8.458988e-06	
1.800170	-8.278175e-05	6.111969e-05	1.201752e-06	-3.247377e-07	
1.801171	-3.754964e-05	-1.090852e-06	-8.397282e-07	5.122207e-06	
1.802172	-1.462093e-05	-4.652470e-05	-2.740102e-06	5.128562e-06	
1.803173	9.837117e-06	-5.482215e-05	1.091320e-06	3.531251e-06	
1.804174	6.159692e-05	-4.452121e-05	3.086137e-06	3.556439e-06	
1.805175	1.267885e-04	-1.857967e-05	2.644636e-07	1.936892e-06	
1.806176	1.577200e-04	-1.030618e-05	3.685230e-07	-8.905160e-07	
1.807177	1.231586e-04	-1.294100e-05	1.328094e-06	2.047241e-06	
1.808178	6.688877e-05	-1.285797e-05	4.519855e-07	4.571327e-06	
1.809178	1.984628e-05	-1.079470e-05	1.022431e-06	4.474255e-06	
1.810179	-2.639649e-05	-3.645829e-06	1.000105e-06	4.014642e-06	
1.811180	-5.339372e-05	-3.402114e-06	2.671444e-07	1.230657e-06	
1.812181	-4.711427e-05	-2.730060e-06	-2.151555e-06	8.244798e-07	
1.813182	-3.680944e-05	7.078036e-06	-4.906138e-06	6.967154e-07	
1.814183	-2.708564e-05	2.013133e-05	-2.270916e-06	-1.997149e-06	
1.815184	6.215687e-06	2.711263e-05	1.367308e-06	-1.976949e-06	
1.816185	3.269214e-05	1.857284e-05	1.325421e-06	-3.072595e-06	
1.817186	8.478011e-06	2.031872e-05	1.193512e-06	-5.085179e-06	
1.818187	-3.411760e-05	3.333002e-05	2.996825e-06	-4.538436e-07	
1.819188	-3.051554e-05	2.460653e-05	1.834971e-06	4.708268e-06	
1.820189	-1.715837e-05	1.277255e-05	-1.839158e-06	2.342882e-06	
1.821190	-3.510619e-05	7.961837e-06	-7.694021e-07	-3.193034e-06	
1.822191	-2.515705e-05	-4.254943e-06	1.425755e-06	-3.502181e-06	
1.823192	-5.822796e-06	-2.529287e-05	1.942361e-06	-5.495407e-07	
1.824193	-2.550419e-05	-4.951848e-05	1.222825e-06	-1.837378e-06	
1.825194	-3.142931e-05	-3.780410e-05	-2.889312e-06	-2.012356e-06	
1.826195	-5.729782e-06	-9.072674e-06	-3.502188e-06	6.624526e-07	
1.827195	-2.159771e-06	-1.381135e-05	-1.214041e-06	-2.468453e-06	
1.828196	-1.326692e-05	-5.657289e-06	7.520807e-08	-4.830564e-06	
1.829197	2.349892e-05	2.652279e-05	1.728549e-06	-1.189045e-07	
1.830198	7.260613e-05	1.936526e-05	-1.956099e-06	1.625769e-06	
1.831199	6.431889e-05	-6.761316e-06	-4.017399e-06	-1.241351e-06	
1.832200	2.844987e-05	-2.881844e-06	-1.195246e-06	6.347081e-08	
1.833201	1.772738e-06	-9.158347e-06	-3.381301e-06	3.624500e-06	
1.834202	-1.557898e-05	-2.555869e-05	-3.976831e-06	-6.657874e-07	
1.835203	-1.437433e-05	-6.872013e-06	1.161577e-07	-5.260364e-06	
1.836204	-1.132391e-05	4.430152e-06	3.311383e-06	4.787611e-07	
1.837205	-3.963655e-05	-5.649727e-06	4.207668e-06	3.231170e-06	
1.838206	-5.137230e-05	-6.297689e-06	2.743629e-06	1.588892e-06	
1.839207	-3.894723e-06	3.405215e-06	9.918386e-07	4.994485e-06	
1.840208	3.681936e-05	1.741113e-05	-6.245695e-07	6.176934e-06	
1.841209	3.495191e-05	6.534504e-06	1.463237e-06	7.154010e-06	
1.842210	2.300317e-05	9.386152e-06	3.813053e-06	8.035857e-06	
1.843211	1.826294e-05	5.558749e-05	1.670354e-06	1.192560e-06	
1.844212	1.445095e-05	5.925651e-05	1.993436e-06	-2.814093e-06	
1.845212	1.912628e-06	9.913700e-06	2.912799e-06	-6.327784e-07	
1.846213	-1.564415e-05	-2.514398e-05	6.476770e-07	-8.651415e-07	
1.847214	-1.657399e-05	-3.603250e-05	-3.422495e-07	-4.216176e-06	
1.848215	-1.406945e-05	-5.118841e-05	1.108256e-06	-1.210234e-05	
1.849216	-5.395471e-05	-4.825988e-05	2.991629e-06	-1.848430e-05	
1.850217	-8.476958e-05	-1.470915e-06	2.428973e-06	-1.188983e-05	
1.851218	-2.771568e-05	7.973076e-06	-4.433859e-07	2.103034e-07	
1.852219	6.592231e-05	-3.227326e-05	-2.376156e-06	4.509207e-06	
1.853220	8.830342e-05	-3.152401e-05	-3.606226e-06	1.493999e-06	
1.854221	4.861263e-05	4.486753e-06	-5.619260e-06	-1.081897e-06	
1.855222	4.583008e-05	2.910315e-05	-5.942457e-06	1.834290e-06	
1.856223	5.244747e-05	1.772603e-05	-2.968408e-06	5.249066e-06	
1.857224	1.580714e-05	-4.818958e-06	1.920174e-06	6.451738e-06	
1.858225	-2.368053e-05	1.958010e-05	3.154720e-06	8.363098e-06	
1.859226	-4.546964e-05	2.501599e-05	-1.708459e-06	7.170893e-06	
1.860227	-4.227937e-05	-2.064898e-05	-2.785458e-06	5.831533e-06	
1.861228	-5.709137e-05	-2.517145e-05	-1.168853e-06	7.599428e-06	
1.862229	-7.632253e-05	1.571160e-06	-1.946135e-06	5.986908e-06	
1.863229	-1.865981e-05	1.640506e-05	1.121969e-06	4.974526e-06	
1.864230	4.914020e-05	2.482892e-05	2.469428e-06	5.281693e-06	
1.865231	7.219212e-05	1.944950e-05	-1.648494e-08	-9.961004e-07	
1.866232	6.269373e-05	1.193500e-05	6.124179e-09	-5.727355e-06	
1.867233	8.570005e-06	1.426670e-05	5.515010e-07	-3.821147e-06	
1.868234	-1.931420e-05	2.552322e-05	-5.589785e-07	-7.847960e-06	
1.869235	-6.480580e-06	3.195634e-05	-2.152062e-06	-1.348825e-05	
1.870236	-2.654683e-05	2.905376e-05	-3.074783e-08	-7.052112e-06	
1.871237	-5.987440e-05	3.181079e-05	9.933044e-07	-2.319406e-06	
1.872238	-1.066701e-04	1.515953e-05	-8.773787e-07	-4.900519e-06	
1.873239	-1.268181e-04	-3.130184e-05	1.862156e-06	-1.791317e-06	
1.874240	-1.594450e-05	-5.135305e-05	2.312920e-06	2.470639e-07	
1.875241	7.108186e-05	-1.925638e-05	3.949884e-07	8.184357e-07	
1.876242	1.457634e-05	1.056880e-05	7.913376e-07	5.219890e-06	
1.877243	-1.862449e-05	1.975203e-06	-1.846727e-06	1.729118e-06	
1.878244	1.035104e-05	-4.283359e-06	-9.255162e-07	-4.214327e-06	
1.879245	3.469474e-05	-4.576841e-06	3.069873e-06	-2.701593e-06	
1.880246	7.266912e-05	-3.430020e-05	3.794084e-06	-2.842196e-07	
1.881246	1.158400e-04	-5.127314e-05	4.519024e-06	3.283352e-06	
1.882247	1.171675e-04	-3.330168e-05	2.451643e-06	5.993775e-06	
1.883248	6.871553e-05	-2.573406e-05	3.483164e-07	4.835088e-06	
1.884249	2.612533e-05	-2.074250e-05	-9.270229e-07	2.854816e-06	
1.885250	1.726469e-05	-2.915469e-06	-3.550615e-06	-1.717188e-06	
1.886251	1.359845e-05	3.883343e-06	-2.252317e-06	-3.026313e-06	
1.887252	-4.217138e-06	3.463856e-06	-1.502620e-06	-1.111765e-06	
1.888253	-4.625401e-05	4.863766e-07	-3.781637e-06	-8.120427e-07	
1.889254	-8.963577e-05	-7.240308e-06	-5.187166e-06	4.177968e-06	
1.890255	-9.924896e-05	1.805388e-06	-3.517671e-06	4.512630e-06	
1.891256	-9.060524e-05	2.225955e-05	5.015885e-08	-1.635427e-06	
1.892257	-6.823636e-05	2.664581e-05	7.918076e-07	-1.780220e-06	
1.893258	-2.522206e-05	1.599520e-05	1.079772e-06	-2.171793e-06	
1.894259	9.533239e-06	1.391619e-05	1.245083e-06	-2.799803e-06	
1.895260	3.979628e-05	2.509796e-05	1.867918e-06	-1.902778e-07	
1.896261	6.617132e-05	2.424615e-05	4.827560e-06	-1.378199e-06	
1.897262	5.777460e-05	1.017477e-05	3.586536e-06	-3.833570e-06	
1.898263	3.028357e-05	-1.134821e-06	4.652946e-08	-2.087136e-06	
1.899263	8.973683e-06	-8.051179e-06	2.580954e-07	1.544967e-06	
1.900264	-3.516694e-06	-3.294994e-06	4.223724e-07	-8.105892e-09	
1.901265	-1.702134e-05	8.223435e-06	-9.758912e-07	-3.873964e-06	
1.902266	-3.722375e-05	8.173905e-06	-1.835715e-07	4.791559e-07	
1.903267	-4.251585e-05	-1.136760e-06	2.092216e-06	3.928689e-06	
1.904268	-2.789831e-05	-7.659037e-06	2.782363e-06	7.165394e-07	
1.905269	4.589989e-07	-1.275839e-05	8.382514e-07	2.488867e-06	
1.906270	3.227761e-05	-1.877995e-05	-2.414937e-06	4.978200e-06	
1.907271	3.527353e-05	-1.827839e-05	-2.055934e-06	3.536301e-06	
1.908272	1.038481e-05	-7.381197e-06	1.485958e-06	3.359839e-06	
1.909273	-1.130411e-05	5.496096e-06	1.586273e-06	1.808586e-06	
1.910274	-1.080465e-05	5.799671e-06	-9.094369e-07	4.828508e-07	
1.911275	-3.247358e-06	-2.030768e-06	5.708215e-09	1.836099e-06	
1.912276	-6.193750e-06	7.536514e-07	1.593008e-06	1.707571e-06	
1.913277	8.574794e-06	5.411752e-06	6.427890e-07	-7.986896e-07	
1.914278	2.345823e-05	-8.529981e-07	4.226284e-08	-2.097344e-06	
