NO_OF_FRAMES	581
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2021-10-08, 16:24:03	9434.18631139
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
399	3.98000	309.453	304.968	1623.144	249.272	458.463	1343.091	232.089	515.134	1022.508	295.391	622.247	822.758	258.832	145.321	1353.105	258.420	55.936	1034.348	347.728	-60.946	851.519	290.979	463.541	826.792	244.064	397.122	443.551	205.608	359.245	54.958	165.384	304.533	20.147	302.098	400.441	28.648	384.567	383.030	26.762	277.491	103.618	847.966	258.259	177.446	437.589	214.433	221.111	53.975	167.269	272.191	27.183	311.591	187.834	28.939	398.994	210.223	23.499
400	3.99000	309.449	305.027	1623.078	249.201	458.534	1343.242	232.140	515.247	1022.298	295.225	622.230	823.023	258.684	145.267	1352.985	258.253	55.868	1034.355	347.658	-60.925	851.566	291.014	463.550	826.768	243.602	397.189	443.596	205.413	359.216	55.152	165.551	304.560	20.081	302.069	400.426	28.683	384.355	383.034	27.252	277.546	103.625	848.053	258.242	177.585	437.524	214.669	221.226	54.199	167.357	271.940	27.228	311.414	187.745	28.946	399.024	210.200	23.683
401	4.00000	309.332	305.115	1623.154	249.141	458.501	1343.204	231.977	515.374	1022.431	295.081	622.295	822.878	258.310	145.222	1353.014	258.164	55.933	1034.452	347.607	-60.862	851.639	290.999	463.526	826.735	243.962	397.213	443.695	205.705	359.298	54.797	165.389	304.543	20.124	301.910	400.255	28.752	384.430	383.064	26.881	277.456	103.600	848.009	258.276	177.548	437.572	214.374	221.076	54.058	167.635	272.165	27.118	311.431	187.776	28.809	398.941	210.131	23.629
402	4.01000	309.274	305.118	1623.112	249.215	458.745	1343.250	232.057	515.355	1022.422	295.312	622.308	823.022	258.197	145.178	1353.185	258.093	55.938	1034.487	347.603	-60.804	851.559	290.997	463.528	826.707	243.827	396.977	443.545	205.900	359.470	54.409	165.542	304.574	19.947	301.888	400.093	28.584	384.557	382.951	26.712	277.258	103.667	848.079	258.166	177.611	437.601	214.625	221.162	54.220	167.354	272.121	26.988	311.438	187.664	28.902	398.836	210.277	23.808
403	4.02000	309.197	305.144	1623.103	249.323	458.631	1343.238	231.800	515.403	1022.454	294.976	622.301	823.005	257.962	145.135	1353.261	257.933	55.905	1034.481	347.419	-60.882	851.622	291.002	463.558	826.766	243.920	397.232	443.578	205.508	359.442	54.899	165.422	304.521	20.006	301.942	400.294	28.733	384.484	383.068	27.143	277.231	103.627	848.047	258.114	177.507	437.605	214.604	221.223	54.173	167.531	272.130	26.935	311.590	187.732	29.052	398.941	210.192	23.710
404	4.03000	309.094	305.204	1623.085	249.412	458.826	1343.325	231.814	515.450	1022.494	295.027	622.366	823.085	258.196	145.301	1353.117	258.035	56.061	1034.419	347.291	-60.891	851.710	290.849	463.566	826.821	243.796	396.981	443.573	205.930	359.408	54.778	165.321	304.576	20.129	302.228	400.312	28.547	384.762	382.991	26.808	277.161	103.683	848.061	258.010	177.395	437.609	214.318	220.956	54.226	167.366	272.137	27.180	311.429	187.861	28.962	399.044	210.161	23.654
405	4.04000	308.998	305.240	1623.105	249.270	458.580	1343.261	231.767	515.532	1022.659	294.923	622.457	822.915	258.044	145.314	1353.092	257.911	56.009	1034.443	347.284	-60.891	851.735	290.866	463.604	826.779	243.718	397.362	443.600	205.950	359.284	54.543	165.353	304.615	19.999	302.086	400.479	28.771	384.693	383.150	27.115	277.039	103.740	848.049	257.962	177.602	437.589	214.218	221.045	54.166	167.283	272.202	26.987	311.617	187.731	28.850	399.142	210.177	23.673
406	4.05000	309.019	305.286	1623.056	249.200	458.699	1343.459	231.782	515.544	1022.505	294.767	622.478	822.974	257.860	145.279	1353.120	257.755	56.033	1034.520	347.149	-60.849	851.674	290.826	463.589	826.732	243.727	397.290	443.626	205.596	359.172	54.962	165.295	304.591	19.988	302.068	400.345	28.622	384.479	382.960	27.020	277.010	103.706	848.066	258.034	177.661	437.631	214.380	221.222	54.223	167.479	272.102	26.996	311.591	187.822	28.924	399.065	210.160	23.663
407	4.06000	308.867	305.218	1623.079	249.248	458.776	1343.372	231.641	515.544	1022.672	294.575	622.501	823.057	257.954	145.452	1353.132	257.638	55.939	1034.505	347.181	-60.762	851.775	290.732	463.598	826.746	243.465	397.282	443.568	205.690	359.159	54.592	165.291	304.473	20.052	301.874	400.426	28.726	384.460	382.983	27.171	277.008	103.674	848.105	257.989	177.675	437.603	214.519	221.192	53.961	167.333	272.092	27.341	311.465	187.720	28.965	399.128	210.177	23.765
408	4.07000	308.745	305.278	1623.056	249.177	458.805	1343.255	231.693	515.658	1022.764	294.684	622.551	823.014	257.828	145.403	1353.362	257.560	55.986	1034.581	346.981	-60.888	851.657	290.727	463.648	826.765	243.578	397.393	443.520	205.893	359.217	54.838	165.315	304.588	20.158	302.051	400.391	28.881	384.523	382.914	27.093	276.866	103.662	848.072	258.009	177.752	437.626	214.596	221.154	53.908	167.507	272.159	27.089	311.552	187.789	28.878	398.922	210.136	23.887
