NO_OF_FRAMES	636
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2021-10-08, 16:52:35	11145.92380184
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
2166	21.65000	-92.837	375.274	1583.866	-82.649	501.987	1327.721	-51.756	597.907	1033.679	29.022	493.894	1201.217	-258.501	266.255	1326.286	-355.256	202.451	1033.195	-198.895	151.500	1174.415	-52.895	490.705	796.140	83.923	428.161	450.953	108.947	396.330	54.673	68.058	344.017	23.091	208.103	439.100	29.379	288.294	414.134	29.425	-304.761	232.717	836.205	-351.170	303.523	429.073	-474.689	400.099	62.046	-466.521	468.059	31.576	-451.133	304.395	33.879	-391.472	243.285	27.135
2167	21.66000	-92.905	374.994	1583.862	-82.812	501.694	1327.658	-52.328	597.917	1033.754	28.812	493.931	1201.250	-258.279	265.882	1326.117	-354.737	201.678	1033.184	-198.565	151.007	1174.684	-53.112	490.773	796.113	83.643	428.148	450.998	108.719	396.320	54.878	67.944	343.953	23.194	208.196	439.214	29.309	288.005	413.941	29.367	-304.590	232.311	836.103	-350.875	303.554	428.763	-474.848	400.295	61.995	-466.466	468.116	31.405	-451.199	304.450	33.859	-391.352	243.262	27.308
2168	21.67000	-93.029	374.707	1583.880	-83.140	501.496	1327.622	-52.949	597.937	1033.960	28.553	494.123	1201.125	-258.054	265.150	1326.247	-354.385	200.882	1033.331	-198.064	150.409	1174.631	-53.523	490.894	796.293	83.504	428.134	451.006	108.556	396.273	54.452	68.029	343.998	23.027	207.989	439.273	29.268	287.770	413.953	29.560	-304.337	231.773	835.943	-350.635	303.522	428.582	-474.521	400.241	61.751	-466.509	467.912	31.271	-451.366	304.317	33.928	-391.589	243.025	27.416
2169	21.68000	-93.020	374.427	1583.896	-83.288	501.144	1327.533	-53.537	597.650	1033.883	28.272	494.200	1201.165	-257.873	264.513	1326.329	-354.020	200.036	1033.386	-197.631	149.675	1174.979	-53.649	490.863	796.270	83.211	428.160	451.060	108.918	396.331	54.654	68.065	344.040	23.056	207.791	438.801	29.016	287.735	413.879	29.580	-304.101	231.215	835.832	-350.558	303.238	428.465	-474.570	400.251	61.982	-466.627	467.769	31.521	-451.423	304.318	34.027	-391.408	243.155	27.258
2170	21.69000	-93.113	374.083	1583.969	-83.372	501.040	1327.563	-53.850	597.557	1033.778	28.090	494.308	1201.026	-257.706	264.056	1326.413	-353.789	199.041	1033.423	-197.402	149.061	1174.955	-53.993	491.057	796.366	83.179	428.146	450.973	108.795	396.338	54.560	68.041	344.064	23.079	208.130	439.243	29.226	287.750	413.763	29.490	-303.844	230.828	835.586	-350.436	303.127	428.330	-474.697	400.255	61.710	-466.487	468.045	31.469	-451.386	304.348	33.847	-391.370	243.228	26.972
2171	21.70000	-93.179	373.791	1583.985	-83.298	500.330	1327.372	-54.454	597.164	1033.807	27.742	494.293	1201.001	-257.410	263.321	1326.504	-353.345	198.043	1033.439	-197.148	148.444	1175.259	-54.252	491.089	796.402	83.192	427.965	450.863	108.638	396.351	54.617	67.879	343.936	23.100	207.945	438.991	29.100	287.425	413.886	29.636	-303.628	230.357	835.367	-350.469	302.805	428.375	-474.664	399.949	61.907	-466.517	467.987	31.574	-451.561	304.260	33.769	-391.235	243.097	26.829
2172	21.71000	-93.211	373.430	1584.024	-83.635	500.233	1327.305	-54.691	597.086	1033.760	27.661	494.292	1200.976	-257.170	262.595	1326.432	-352.927	197.260	1033.504	-196.592	147.886	1175.278	-54.554	491.182	796.475	82.842	428.146	450.992	108.707	396.323	54.747	67.916	344.128	23.065	207.864	438.933	29.225	287.312	413.793	29.588	-303.227	229.904	835.137	-350.312	302.586	428.304	-474.761	400.041	62.033	-466.681	467.898	31.639	-451.581	304.102	33.780	-391.090	243.031	26.662
2173	21.72000	-93.196	373.139	1584.042	-83.515	499.717	1327.255	-55.290	596.742	1033.842	27.495	494.128	1201.083	-256.858	261.956	1326.538	-352.647	196.346	1033.727	-196.161	147.264	1175.347	-54.726	491.253	796.505	82.834	428.189	451.033	108.631	396.407	54.457	67.965	343.965	23.060	207.922	438.873	29.303	287.337	413.796	29.738	-302.977	229.512	835.017	-350.308	302.376	428.192	-474.722	400.252	61.810	-466.577	467.753	31.516	-451.750	304.034	33.714	-391.185	243.054	26.545
2174	21.73000	-93.168	372.787	1584.090	-83.732	499.570	1327.300	-55.599	596.477	1033.768	27.430	494.074	1200.950	-256.562	261.278	1326.584	-352.380	195.597	1033.737	-195.724	146.624	1175.458	-54.712	491.264	796.591	82.777	428.114	451.044	108.697	396.346	54.529	67.986	343.945	22.901	208.081	439.003	29.284	287.425	413.821	29.475	-302.741	229.143	834.800	-350.322	302.278	428.184	-474.907	400.094	62.013	-466.567	467.850	31.531	-451.959	304.066	33.576	-390.918	242.978	26.450
2175	21.74000	-93.138	372.388	1584.172	-83.728	499.399	1327.456	-56.264	596.237	1034.000	27.404	493.979	1200.903	-256.586	260.659	1326.814	-352.091	194.739	1034.009	-195.916	145.373	1175.748	-54.765	491.336	796.770	82.921	428.142	450.969	108.639	396.445	54.280	68.011	343.964	23.157	207.649	438.940	29.254	287.009	413.760	29.361	-302.265	228.817	834.567	-350.185	302.274	428.021	-474.290	400.624	61.539	-466.657	467.792	31.677	-452.112	304.002	33.620	-391.013	242.804	26.336
