NO_OF_FRAMES	127
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2021-10-08, 16:44:14	10644.81949717
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
173	1.72000	107.133	318.222	1598.792	76.700	489.731	1330.163	174.330	585.645	1043.994	403.794	578.574	1012.416	42.538	183.820	1327.445	-34.373	109.677	1016.646	-9.342	44.033	790.498	102.019	492.688	806.141	-6.650	430.285	435.653	-289.781	397.235	139.187	-341.205	343.604	146.857	-238.174	408.269	34.935	-173.230	370.715	32.855	107.195	127.826	842.235	250.104	221.771	449.010	243.011	240.634	55.356	191.009	285.302	26.466	344.585	230.401	29.525	418.693	255.933	43.340
174	1.73000	118.721	317.695	1600.569	88.466	489.365	1331.866	181.093	584.025	1044.002	410.134	577.040	1008.671	53.972	183.022	1328.615	-20.641	108.911	1017.884	5.685	43.512	791.470	116.180	491.900	806.642	12.482	432.506	434.451	-280.295	397.855	146.551	-328.540	342.259	157.035	-235.569	406.096	37.756	-173.576	370.665	32.354	119.920	126.514	844.278	257.879	221.495	449.063	244.443	241.188	55.415	191.044	284.863	26.755	344.848	230.467	29.504	419.966	257.397	41.933
175	1.74000	129.940	317.238	1602.107	99.684	488.902	1333.022	187.960	582.170	1042.931	416.627	575.197	1003.190	66.105	182.954	1330.282	-6.761	108.346	1018.966	20.868	42.482	793.248	129.858	490.792	807.781	31.696	434.966	433.303	-269.025	400.337	153.232	-315.080	343.170	168.546	-233.219	403.630	39.498	-172.808	369.498	32.797	132.802	125.369	846.205	265.374	220.968	447.973	244.694	241.290	55.869	191.414	285.005	26.728	344.916	230.346	29.604	420.943	258.129	39.919
176	1.75000	141.486	316.863	1603.723	111.249	488.366	1335.372	194.366	580.482	1042.198	421.746	573.551	996.773	78.121	182.032	1332.217	7.334	107.683	1020.176	37.237	41.792	794.489	142.408	489.839	808.533	52.435	436.752	430.254	-256.731	402.077	160.188	-301.515	346.947	180.379	-227.839	401.387	44.863	-168.052	370.676	33.869	145.289	124.076	847.907	270.317	219.692	447.656	244.742	241.715	55.719	191.403	284.884	27.082	345.337	230.384	29.572	421.743	258.245	38.322
177	1.76000	153.068	316.510	1605.252	122.808	488.196	1336.290	200.129	578.783	1040.994	426.944	572.224	988.870	90.395	181.803	1333.392	21.390	106.923	1021.305	54.081	41.001	796.080	154.630	488.873	809.011	74.189	438.618	428.405	-242.921	402.948	167.966	-287.330	349.260	191.082	-219.089	401.829	51.603	-161.533	372.605	34.033	158.486	123.228	850.211	275.752	219.065	447.225	245.289	242.057	55.622	191.212	284.957	27.431	345.232	230.506	29.475	422.529	259.149	36.490
178	1.77000	164.439	316.123	1606.698	133.872	487.877	1337.224	205.894	577.265	1039.955	431.424	570.487	980.547	102.387	181.242	1334.891	35.766	105.985	1022.505	71.385	40.303	797.540	166.261	487.766	809.928	96.046	440.294	425.097	-227.474	402.874	176.194	-272.068	349.229	200.556	-207.955	402.827	59.419	-149.293	378.498	35.567	171.655	122.795	852.276	281.433	218.521	446.635	245.668	241.969	55.402	191.500	284.870	27.323	345.357	230.524	29.408	423.767	259.320	34.884
179	1.78000	175.989	315.797	1608.279	145.399	487.443	1338.982	211.474	575.725	1038.159	435.372	568.905	971.217	115.133	180.352	1336.949	50.639	105.259	1023.599	88.776	39.471	799.241	176.816	486.587	809.838	119.382	441.764	422.254	-210.778	401.909	183.582	-253.525	346.759	208.456	-194.519	406.943	67.539	-139.643	389.870	32.807	185.384	122.124	853.840	286.689	218.460	445.972	245.920	242.449	55.367	191.280	284.876	27.454	345.487	230.453	29.364	424.289	259.668	34.042
180	1.79000	187.360	315.565	1609.733	156.443	487.516	1339.477	217.063	574.102	1036.625	438.120	567.195	960.891	127.998	179.638	1338.369	65.309	104.109	1024.877	107.462	38.749	801.068	187.011	485.688	810.741	142.881	443.407	419.715	-192.238	401.095	191.586	-232.681	343.710	215.008	-176.779	411.455	76.622	-124.880	397.709	41.360	198.637	122.057	855.038	291.207	218.177	444.852	245.427	241.549	55.767	191.229	284.777	27.563	345.302	230.341	29.508	424.578	260.145	32.736
181	1.80000	198.760	315.322	1611.163	167.633	487.260	1340.287	222.745	572.349	1034.903	441.308	565.596	949.979	141.061	178.919	1339.720	80.906	102.885	1025.915	126.241	38.029	802.534	196.980	484.823	811.406	167.088	444.985	418.411	-171.128	400.535	197.030	-211.403	341.735	219.138	-156.635	417.179	83.521	-102.970	403.647	46.914	211.102	122.471	856.075	295.855	217.350	443.996	245.311	241.990	55.699	191.319	284.575	27.563	345.417	230.114	29.340	424.822	260.097	32.022
182	1.81000	210.415	315.237	1612.647	179.009	487.371	1341.261	228.003	570.737	1033.565	443.268	564.054	938.538	154.439	178.267	1341.789	95.981	101.552	1027.222	145.494	37.198	804.600	206.837	484.458	811.754	191.038	446.675	419.107	-148.362	400.022	201.594	-188.605	340.311	221.293	-132.937	422.457	89.602	-80.338	410.902	50.386	223.636	122.250	856.763	300.323	216.918	443.648	245.728	241.947	55.506	191.191	284.323	27.748	345.372	229.850	29.358	425.029	260.186	31.644
183	1.82000	221.867	315.193	1613.767	190.027	487.606	1341.642	234.006	568.994	1032.577	443.831	562.701	926.271	168.799	177.919	1343.107	111.953	100.247	1028.383	165.369	36.651	806.220	216.927	484.329	813.091	215.818	448.147	419.896	-123.851	399.963	204.980	-165.154	339.490	222.278	-107.040	427.334	95.250	-56.957	416.018	52.251	235.594	122.377	857.277	304.841	216.602	443.588	245.962	241.396	55.808	191.435	284.377	27.642	345.452	229.690	29.217	425.120	260.586	30.837
